,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-mir-106a-5p_+_2,0,0,0,0,0,0,0,0
hsa-mir-106a-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-106b-3p,1013.660249,1123.026226,1466.2075,1476.458331,555.823422,977.0649771,2329.748263,831.5826739
hsa-mir-106b-3p_-_1,55.29055906,66.06036625,70.80277664,141.4939234,29.94928106,51.34499107,194.4905299,27.89654337
hsa-mir-106b-3p_-_2,672.7018019,720.0579921,756.7046753,941.2421862,205.2406614,397.1686074,1051.076481,480.8832715
hsa-mir-106b-3p_-_3,0,0,0,0,0,0,0,0
hsa-mir-106b-3p_-_5,0,0,0,0,0,0,0,0
hsa-mir-106b-3p_+_1,0,0,17.70069416,0,0,0,0,0
hsa-mir-106b-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-106b-3p_+_3,0,0,0,0,0,0,0,0
hsa-mir-106b-5p,1621.856399,1037.14775,1062.04165,1805.585501,706.4506885,613.1195992,1344.881324,494.1673398
hsa-mir-106b-5p_+_1,0,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_3,0,0,0,0,0,0,0,0
hsa-mir-106b-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-107,1635.679039,2008.235134,1848.247482,2980.600256,1168.021961,1366.682851,1750.414769,859.4792173
hsa-mir-107_-_1,0,0,0,0,0,22.65220194,0,0
hsa-mir-107_+_1,0,0,0,0,0,0,0,0
hsa-mir-107_+_2,0,0,0,0,0,0,0,0
hsa-mir-107_+_3,0,0,51.62702463,0,9.689473283,0,0,0
hsa-mir-107_+_4,0,0,0,0,0,0,0,0
hsa-mir-107_+_5,0,0,0,0,0,0,0,0
hsa-mir-10a-3p,359.3886339,138.7267691,367.2894038,104.5824651,457.1669667,244.643781,99.31431316,58.4499004
hsa-mir-10a-3p_-_1,0,0,22.1258677,0,0,0,0,0
hsa-mir-10a-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-10a-3p_-_3,0,0,0,0,0,0,0,0
hsa-mir-10a-3p_+_1,0,0,19.17575201,0,43.16219917,0,0,63.76352771
hsa-mir-10a-3p_+_2,0,0,0,0,0,0,0,0
hsa-mir-10a-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-10a-5p,253986.3981,281503.0387,449172.815,103493.5771,661673.8707,1020067.917,340482.5703,384286.8406
hsa-mir-10a-5p_-_1,2207.014816,2150.264921,3109.421941,695.1657977,3691.689321,7062.956566,2557.343564,2652.828434
hsa-mir-10a-5p_-_2,0,0,0,0,29.06841985,34.73337631,0,0
hsa-mir-10a-5p_-_3,0,0,0,0,0,0,0,0
hsa-mir-10a-5p_+_1,79268.23151,73829.06532,118203.7605,39052.32286,156375.7667,244054.8237,84230.95185,91309.37169
hsa-mir-10a-5p_+_2,580.5508701,683.7247907,1247.898938,292.2157114,1553.83917,2251.628873,480.0191803,719.9965004
hsa-mir-10a-5p_+_3,82.93583859,122.2116776,213.8833878,76.89887142,236.0708036,483.2469748,148.9714697,61.10671406
hsa-mir-10a-5p_+_4,0,0,51.62702463,0,34.3535871,16.61161476,0,0
hsa-mir-10a-5p_+_5,64.50565224,112.3026226,141.6055533,73.82291657,219.3344407,220.4814322,0,37.19539117
hsa-mir-10a-5p_+_6,0,0,32.45127263,0,48.44736642,0,0,0
hsa-mir-10a-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-10b-3p,55.29055906,0,0,0,46.685644,0,0,26.56813655
hsa-mir-10b-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-10b-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-10b-3p_+_1,0,0,22.1258677,0,50.20908883,24.16234874,57.93334934,82.3612233
hsa-mir-10b-3p_+_2,64.50565224,49.54527469,44.2517354,113.8103297,85.44353713,117.7914501,70.34763849,79.70440964
hsa-mir-10b-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-10b-5p,279286.4365,492707.9386,430231.5972,133591.7954,739902.2737,1411508.538,332073.9584,771722.0055
hsa-mir-10b-5p_-_1,0,340.2108862,318.6124949,33.83550343,169.1253519,839.6416187,173.800048,406.4924892
hsa-mir-10b-5p_-_2,0,0,0,0,0,0,0,0
hsa-mir-10b-5p_-_3,0,0,0,0,0,0,0,33.21017068
hsa-mir-10b-5p_+_1,37486.99904,63929.91944,49775.82704,21217.9366,82690.84586,163995.9015,43317.59292,95113.92884
hsa-mir-10b-5p_+_2,327.1358078,439.3014356,191.7575201,0,613.0794005,1146.201418,256.5619757,324.1312659
hsa-mir-10b-5p_+_3,387.0339134,353.4229594,445.4674697,249.1523434,547.8956711,644.832682,380.7048671,346.7141819
hsa-mir-10b-5p_+_4,59.89810565,56.15131131,25.07598339,33.83550343,127.7248751,141.9537988,0,47.82264579
hsa-mir-10b-5p_+_5,64.50565224,0,0,0,59.89856211,75.50733981,74.48573487,42.50901848
hsa-mir-10b-5p_+_6,0,0,0,0,28.18755864,0,0,0
hsa-mir-10b-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-1179,0,0,0,0,0,0,0,0
hsa-mir-1179_-_2,0,0,0,0,0,0,0,0
hsa-mir-1180,69.11319883,46.24225637,56.05219817,119.9622394,87.20525955,87.58851418,82.76192763,65.09193454
hsa-mir-1180_+_2,0,0,0,0,0,0,0,0
hsa-mir-1185-1-3p,0,39.63621975,0,0,15.85550174,0,0,0
hsa-mir-1185-1-5p,0,0,0,0,12.33205691,0,0,0
hsa-mir-1185-2-3p,0,0,0,0,0,0,0,0
hsa-mir-1185-2-5p,0,0,0,0,12.33205691,0,0,0
hsa-mir-1197,0,0,0,0,0,0,0,0
hsa-mir-122-5p,0,0,0,0,0,0,0,0
hsa-mir-1224-5p,0,0,0,0,0,0,57.93334934,0
hsa-mir-1225-3p_-_7,0,0,0,0,0,0,0,0
hsa-mir-1226-3p,0,0,0,0,0,0,0,0
hsa-mir-1226-3p_+_2,0,0,0,0,0,0,0,0
